CustomerID,Frequency,Monetary,LastPurchase,Recency,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Cluster
12575,2,622.8199999999999,2010-09-08 13:09:00,92,2,2,2,6,Lost,3
12576,3,826.89,2010-11-12 12:44:00,27,3,3,3,9,Loyal,3
12577,5,995.95,2010-11-23 14:06:00,16,4,3,3,10,Loyal,3
12578,2,1847.94,2010-11-19 17:21:00,20,3,2,4,9,Average,3
12580,1,637.2,2010-05-12 11:45:00,211,1,1,2,4,Lost,1
12582,2,1469.04,2010-10-13 10:52:00,57,2,2,3,7,Lost,3
12583,13,7166.06,2010-12-01 08:45:00,8,4,4,4,12,Champions,0
12586,3,1865.73,2010-11-30 10:47:00,9,4,3,4,11,Loyal,3
12588,3,743.88,2010-11-05 12:53:00,34,3,3,3,9,Loyal,3
12589,6,4048.98,2010-10-14 11:54:00,56,2,4,4,10,AtRisk,3
12591,2,899.3,2010-11-14 14:32:00,25,3,2,3,8,Average,3
12592,3,2145.06,2010-07-08 14:26:00,154,1,3,4,8,AtRisk,1
12594,5,1751.89,2010-11-26 12:17:00,13,4,3,4,11,Loyal,3
12595,1,299.02,2010-07-23 09:10:00,139,1,1,1,3,Lost,3
12598,3,1511.01,2010-09-02 14:22:00,98,2,3,3,8,AtRisk,3
12599,6,1264.14,2010-11-23 15:49:00,16,4,4,3,11,Loyal,3
12600,12,2444.88,2010-12-03 12:57:00,6,4,4,4,12,Champions,3
12601,1,104.2,2010-10-31 10:57:00,39,3,1,1,5,New,3
12605,4,1232.95,2010-11-28 14:18:00,11,4,3,3,10,Loyal,3
12606,1,21.0,2010-01-26 16:23:00,317,1,1,1,3,Lost,1
12608,1,415.79,2010-10-31 10:49:00,39,3,1,2,6,New,3
12609,6,2309.01,2010-11-30 14:48:00,9,4,4,4,12,Champions,3
12613,5,3490.69,2010-11-16 17:17:00,23,3,3,4,10,Loyal,3
12615,4,3449.79,2010-10-22 09:45:00,48,3,3,4,10,Loyal,3
12616,1,417.8,2010-11-16 11:38:00,23,3,1,2,6,New,3
12619,1,140.14,2010-05-28 12:52:00,195,1,1,1,3,Lost,1
12621,16,11086.14,2010-12-09 10:16:00,0,4,4,4,12,Champions,0
12623,6,3442.74,2010-10-19 09:35:00,51,3,4,4,11,Loyal,3
12625,2,2481.06,2010-07-18 15:56:00,144,1,2,4,7,Lost,1
12629,2,1558.22,2010-11-19 09:18:00,20,3,2,3,8,Average,3
12631,5,2841.07,2010-09-09 14:50:00,91,2,3,4,9,AtRisk,3
12632,2,804.88,2010-07-07 09:39:00,155,1,2,3,6,Lost,1
12633,3,3514.18,2010-11-22 13:09:00,17,4,3,4,11,Loyal,3
12634,2,490.0,2010-06-22 10:05:00,170,1,2,2,5,Lost,1
12635,2,1241.23,2010-11-12 15:46:00,27,3,2,3,8,Average,3
12636,1,141.0,2009-12-01 09:55:00,373,1,1,1,3,Lost,1
12637,4,2318.41,2010-11-26 13:50:00,13,4,3,4,11,Loyal,3
12638,1,249.8,2010-03-10 10:30:00,274,1,1,1,3,Lost,1
12639,2,826.27,2010-10-01 12:17:00,69,2,2,3,7,Lost,3
12643,6,5005.78,2010-11-19 12:42:00,20,3,4,4,11,Loyal,3
12644,3,1440.58,2010-10-05 10:23:00,65,2,3,3,8,AtRisk,3
12645,4,1764.12,2010-10-26 18:44:00,44,3,3,4,10,Loyal,3
12647,27,14201.53,2010-12-07 12:28:00,2,4,4,4,12,Champions,0
12648,3,793.95,2010-09-28 10:35:00,72,2,3,3,8,AtRisk,3
12649,5,1671.14,2010-11-22 12:57:00,17,4,3,3,10,Loyal,3
12651,3,263.75,2010-11-26 11:58:00,13,4,3,1,8,Average,3
12652,1,97.05,2010-10-01 15:16:00,69,2,1,1,4,Lost,3
12653,1,1950.98,2010-07-01 09:56:00,161,1,1,4,6,Lost,1
12655,1,261.35,2010-10-12 09:17:00,58,2,1,1,4,Lost,3
12656,3,2356.66,2010-10-10 10:43:00,60,2,3,4,9,AtRisk,3
12661,1,162.0,2010-09-29 16:46:00,71,2,1,1,4,Lost,3
12662,10,3138.24,2010-12-01 13:04:00,8,4,4,4,12,Champions,3
12663,2,239.4,2010-03-25 09:40:00,259,1,2,1,4,Lost,1
12664,2,1188.16,2010-07-13 13:28:00,149,1,2,3,6,Lost,1
12665,2,250.6,2010-10-18 11:34:00,52,3,2,1,6,New,3
12666,1,1248.42,2010-11-10 16:40:00,29,3,1,3,7,Average,3
12668,6,7637.53,2010-11-26 11:48:00,13,4,4,4,12,Champions,3
12670,2,764.24,2010-11-19 10:05:00,20,3,2,3,8,Average,3
12671,1,2622.481,2010-04-12 16:30:00,241,1,1,4,6,Lost,1
12672,1,211.15,2010-04-23 09:57:00,230,1,1,1,3,Lost,1
12673,1,619.5,2010-11-03 10:46:00,36,3,1,2,6,New,3
12675,2,958.5,2010-06-04 09:49:00,188,1,2,3,6,Lost,1
12676,5,1511.7,2010-10-27 09:36:00,43,3,3,3,9,Loyal,3
12677,2,395.1,2010-06-02 14:30:00,190,1,2,2,5,Lost,1
12678,9,16652.72,2010-11-29 09:55:00,10,4,4,4,12,Champions,0
12681,24,17080.74,2010-12-07 10:08:00,2,4,4,4,12,Champions,0
12682,23,11745.69,2010-12-09 14:49:00,0,4,4,4,12,Champions,0
12683,8,4220.21,2010-12-09 12:17:00,0,4,4,4,12,Champions,3
12686,1,89.14,2010-12-03 09:51:00,6,4,1,1,6,Potential,3
12687,2,2138.91,2010-08-16 12:12:00,115,2,2,4,8,Lost,3
12691,1,134.6,2010-10-15 12:00:00,55,2,1,1,4,Lost,3
12692,1,110.95,2010-03-12 14:02:00,272,1,1,1,3,Lost,1
12693,3,847.11,2010-11-08 14:57:00,31,3,3,3,9,Loyal,3
12694,1,973.68,2010-10-14 19:39:00,56,2,1,3,6,Lost,3
12695,3,825.02,2010-06-29 16:12:00,163,1,3,3,7,AtRisk,1
12696,2,851.91,2010-10-01 10:43:00,69,2,2,3,7,Lost,3
12698,1,339.75,2010-04-28 15:51:00,225,1,1,2,4,Lost,1
12699,1,638.11,2010-10-18 12:07:00,52,3,1,2,6,New,3
12701,4,1648.7,2010-06-28 13:44:00,164,1,3,3,7,AtRisk,1
12703,3,722.98,2010-03-16 13:22:00,268,1,3,3,7,AtRisk,1
12705,5,4893.81,2010-11-21 13:59:00,18,3,3,4,10,Loyal,3
12708,9,2601.19,2010-12-06 10:43:00,3,4,4,4,12,Champions,3
12709,20,21356.82,2010-12-08 09:49:00,1,4,4,4,12,Champions,0
12711,2,1339.05,2010-04-07 11:59:00,246,1,2,3,6,Lost,1
12712,10,2797.53,2010-12-09 11:39:00,0,4,4,4,12,Champions,3
12714,7,9384.85,2010-11-16 18:10:00,23,3,4,4,11,Loyal,3
12717,1,277.93,2010-04-28 14:34:00,225,1,1,1,3,Lost,1
12720,6,2478.94,2010-12-05 15:21:00,4,4,4,4,12,Champions,3
12721,2,1356.95,2010-11-19 15:13:00,20,3,2,3,8,Average,3
12724,3,1286.11,2010-11-21 13:26:00,18,3,3,3,9,Loyal,3
12725,4,2266.76,2010-12-03 15:45:00,6,4,3,4,11,Loyal,3
12726,4,1405.5,2010-11-17 16:59:00,22,3,3,3,9,Loyal,3
12727,3,1698.8300000000002,2010-09-23 10:45:00,77,2,3,3,8,AtRisk,3
12728,1,233.84,2010-11-21 11:34:00,18,3,1,1,5,New,3
12730,1,829.25,2010-07-06 12:19:00,156,1,1,3,5,Lost,1
12731,5,6879.8,2010-09-23 15:12:00,77,2,3,4,9,AtRisk,3
12733,3,2040.92,2010-11-15 13:56:00,24,3,3,4,10,Loyal,3
12734,2,529.25,2010-11-30 11:05:00,9,4,2,2,8,Potential,3
12737,2,3710.5,2010-07-29 12:29:00,133,2,2,4,8,Lost,3
12738,1,155.35,2010-12-02 18:27:00,7,4,1,1,6,Potential,3
12739,2,1713.69,2010-11-19 09:42:00,20,3,2,3,8,Average,3
12741,2,406.07,2010-06-28 14:36:00,164,1,2,2,5,Lost,1
12742,1,1201.52,2010-03-24 12:43:00,260,1,1,3,5,Lost,1
12744,4,4037.77,2010-09-06 10:24:00,94,2,3,4,9,AtRisk,3
12745,3,925.41,2010-08-10 10:14:00,121,2,3,3,8,AtRisk,3
12746,1,254.55,2010-06-17 10:41:00,175,1,1,1,3,Lost,1
12747,16,5080.53,2010-12-05 15:38:00,4,4,4,4,12,Champions,0
12748,144,22879.66,2010-12-09 13:22:00,0,4,4,4,12,Champions,2
12749,4,2806.48,2010-11-05 13:56:00,34,3,3,4,10,Loyal,3
12751,1,268.27,2010-09-21 12:49:00,79,2,1,1,4,Lost,3
12755,10,5218.709999999999,2010-12-09 10:44:00,0,4,4,4,12,Champions,3
12758,5,7111.650000000001,2010-09-06 13:02:00,94,2,3,4,9,AtRisk,3
12759,5,3489.3,2010-11-18 19:14:00,21,3,3,4,10,Loyal,3
12760,1,347.8,2010-09-10 08:50:00,90,2,1,2,5,Lost,3
12761,2,782.95,2010-09-08 12:17:00,92,2,2,3,7,Lost,3
12763,1,320.08,2010-12-05 15:46:00,4,4,1,2,7,Potential,3
12765,6,1404.58,2010-08-24 13:51:00,107,2,4,3,9,AtRisk,3
12766,3,3078.65,2010-12-08 13:53:00,1,4,3,4,11,Loyal,3
12767,1,949.82,2010-11-29 09:38:00,10,4,1,3,8,Potential,3
12768,1,168.69000000000003,2010-09-15 12:08:00,85,2,1,1,4,Lost,3
12770,1,1895.0,2010-09-09 11:43:00,91,2,1,4,7,Lost,3
12771,1,282.3,2010-08-11 11:51:00,120,2,1,1,4,Lost,3
12773,1,124.25,2010-05-24 17:30:00,199,1,1,1,3,Lost,1
12774,1,98.7,2010-06-22 10:38:00,170,1,1,1,3,Lost,1
12775,2,300.08,2010-11-16 15:14:00,23,3,2,1,6,New,3
12776,1,55.5,2010-02-10 12:11:00,302,1,1,1,3,Lost,1
12777,1,519.45,2010-09-08 11:35:00,92,2,1,2,5,Lost,3
12778,3,953.45,2010-11-08 10:51:00,31,3,3,3,9,Loyal,3
12779,7,2740.91,2010-12-03 13:40:00,6,4,4,4,12,Champions,3
12780,1,337.4,2010-04-20 09:40:00,233,1,1,2,4,Lost,1
12782,6,2287.32,2010-11-30 11:37:00,9,4,4,4,12,Champions,3
12784,1,1230.33,2010-06-28 13:06:00,164,1,1,3,5,Lost,1
12785,2,788.45,2010-06-22 12:16:00,170,1,2,3,6,Lost,1
12786,1,728.5,2010-04-09 12:12:00,244,1,1,3,5,Lost,1
12787,1,398.52,2010-10-22 14:57:00,48,3,1,2,6,New,3
12788,4,444.9,2010-09-02 14:21:00,98,2,3,2,7,Average,3
12789,2,181.5,2010-07-15 12:43:00,147,1,2,1,4,Lost,1
12790,1,266.93,2010-10-25 13:04:00,45,3,1,1,5,New,3
12791,6,863.51,2010-12-01 11:27:00,8,4,4,3,11,Loyal,3
12792,1,426.47,2010-06-23 10:49:00,169,1,1,2,4,Lost,1
12793,2,471.85,2010-12-03 15:14:00,6,4,2,2,8,Potential,3
12796,1,381.0,2010-03-21 15:49:00,263,1,1,2,4,Lost,1
12797,2,552.08,2010-12-09 10:55:00,0,4,2,2,8,Potential,3
12798,1,1533.89,2010-10-14 12:27:00,56,2,1,3,6,Lost,3
12799,1,219.35,2010-06-28 15:57:00,164,1,1,1,3,Lost,1
12800,3,584.25,2010-08-26 14:11:00,105,2,3,2,7,Average,3
12801,1,1071.82,2010-07-27 09:38:00,135,2,1,3,6,Lost,3
12802,6,1988.84,2010-09-23 10:23:00,77,2,4,4,10,AtRisk,3
12803,1,1092.81,2010-11-11 14:57:00,28,3,1,3,7,Average,3
12804,2,327.02,2010-08-31 11:58:00,100,2,2,2,6,Lost,3
12805,4,1434.95,2010-11-23 12:27:00,16,4,3,3,10,Loyal,3
12806,4,2878.96,2010-09-30 13:34:00,70,2,3,4,9,AtRisk,3
12807,1,330.35,2010-11-21 14:21:00,18,3,1,2,6,New,3
12808,3,422.45,2010-12-06 10:27:00,3,4,3,2,9,Average,3
12809,2,1266.63,2010-05-23 11:08:00,200,1,2,3,6,Lost,1
12810,2,534.99,2010-06-23 10:53:00,169,1,2,2,5,Lost,1
12811,2,519.05,2010-11-26 09:49:00,13,4,2,2,8,Potential,3
12813,3,1687.8,2010-07-26 09:50:00,136,1,3,3,7,AtRisk,3
12817,2,524.94,2010-11-05 08:28:00,34,3,2,2,7,New,3
12819,1,540.52,2010-09-07 15:20:00,93,2,1,2,5,Lost,3
12820,7,1747.18,2010-11-07 14:26:00,32,3,4,4,11,Loyal,3
12821,1,128.07999999999998,2010-04-07 15:14:00,246,1,1,1,3,Lost,1
12823,13,4742.0,2010-11-10 12:22:00,29,3,4,4,11,Loyal,3
12825,2,518.63,2010-07-06 13:56:00,156,1,2,2,5,Lost,1
12826,6,1481.03,2010-12-09 15:21:00,0,4,4,3,11,Loyal,3
12829,1,92.3,2010-06-07 15:04:00,185,1,1,1,3,Lost,1
12831,2,236.06,2010-09-02 16:00:00,98,2,2,1,5,Lost,3
12835,41,6043.31,2010-10-08 10:59:00,62,2,4,4,10,AtRisk,0
12836,11,3972.76,2010-11-15 16:22:00,24,3,4,4,11,Loyal,3
12837,1,554.31,2010-05-19 15:10:00,204,1,1,2,4,Lost,1
12838,9,2715.35,2010-12-01 11:57:00,8,4,4,4,12,Champions,3
12839,13,4480.31,2010-12-07 15:48:00,2,4,4,4,12,Champions,3
12840,3,1315.2,2010-09-28 17:58:00,72,2,3,3,8,AtRisk,3
12841,17,3518.33,2010-12-05 12:15:00,4,4,4,4,12,Champions,0
12842,2,799.0,2010-10-31 10:45:00,39,3,2,3,8,Average,3
12843,22,4886.15,2010-11-22 13:31:00,17,4,4,4,12,Champions,0
12844,2,322.64,2010-09-23 16:23:00,77,2,2,2,6,Lost,3
12846,1,15.58,2010-01-26 16:29:00,317,1,1,1,3,Lost,1
12847,1,765.36,2010-11-17 12:44:00,22,3,1,3,7,Average,3
12848,1,208.0,2010-02-02 12:45:00,310,1,1,1,3,Lost,1
12849,4,2039.67,2010-11-23 11:41:00,16,4,3,4,11,Loyal,3
12850,1,330.0,2010-09-20 12:26:00,80,2,1,2,5,Lost,3
12851,1,148.95,2010-08-19 15:13:00,112,2,1,1,4,Lost,3
12853,5,1950.4,2010-10-08 14:51:00,62,2,3,4,9,AtRisk,3
12854,4,1669.52,2010-05-27 16:54:00,196,1,3,3,7,AtRisk,1
12855,4,612.84,2010-12-02 09:37:00,7,4,3,2,9,Average,3
12857,4,2581.6,2010-09-29 16:49:00,71,2,3,4,9,AtRisk,3
12858,1,177.92,2010-11-21 12:55:00,18,3,1,1,5,New,3
12859,1,575.1,2010-09-07 12:20:00,93,2,1,2,5,Lost,3
12860,1,55.47,2010-01-15 15:22:00,328,1,1,1,3,Lost,1
12861,1,68.25,2010-03-30 11:39:00,254,1,1,1,3,Lost,1
12862,2,1008.32,2010-10-10 11:47:00,60,2,2,3,7,Lost,3
12863,5,2271.35,2010-11-25 17:47:00,14,4,3,4,11,Loyal,3
12864,1,152.45,2010-07-19 17:22:00,143,1,1,1,3,Lost,1
12865,2,1755.24,2010-11-26 15:37:00,13,4,2,4,10,Potential,3
12866,2,668.23,2010-08-22 15:48:00,109,2,2,2,6,Lost,3
12867,6,3876.47,2010-11-07 15:31:00,32,3,4,4,11,Loyal,3
12868,3,640.0,2010-12-01 12:50:00,8,4,3,2,9,Average,3
12869,1,337.67,2010-01-27 12:10:00,316,1,1,2,4,Lost,1
12870,3,1676.95,2010-11-29 13:42:00,10,4,3,3,10,Loyal,3
12871,1,363.38,2010-09-26 10:34:00,74,2,1,2,5,Lost,3
12872,11,3085.52,2010-12-09 14:44:00,0,4,4,4,12,Champions,3
12873,2,1653.3,2010-11-07 11:15:00,32,3,2,3,8,Average,3
12874,2,948.42,2010-11-19 15:23:00,20,3,2,3,8,Average,3
12875,3,1013.76,2010-08-25 14:35:00,106,2,3,3,8,AtRisk,3
12876,2,1863.77,2010-11-10 12:21:00,29,3,2,4,9,Average,3
12877,8,1419.4,2010-11-03 13:53:00,36,3,4,3,10,Loyal,3
12880,2,640.13,2010-11-23 10:50:00,16,4,2,2,8,Potential,3
12887,1,222.4,2010-11-21 11:18:00,18,3,1,1,5,New,3
12889,4,385.46,2010-11-23 16:08:00,16,4,3,2,9,Average,3
12890,1,336.8,2010-11-17 14:06:00,22,3,1,2,6,New,3
12891,8,509.5,2010-09-07 15:31:00,93,2,4,2,8,Average,3
12892,1,263.38,2010-11-08 09:51:00,31,3,1,1,5,New,3
